"","Cantón","Poblacion de 15 años y mas","Tasa neta de participacón","Tasa de ocupación","Tasa de desempleo abierto","Porcentaje de población economicamente inactiva","relación de dependencia económica","Sector primario","Sector secundario","Sector terciario","Total hogares","Hogares pobres","Porcentaje de hogares pobres","Grupo clasificado","Población","Nacimientos","Tasa bruta de natalidad","Defunciones","Tasa bruta de mortalidad","muertes_infantiles","Tasa de mortalidad infantil","provincia"
"60","ABANGARES",13323,47.1290249943706,44.8622682578999,4.80968307055264,52.8709750056294,1.87290969899666,30.5169817634265,17.5673414756567,51.9156767609169,5393,2016.4427,0.752917679614292,3,18512,297,16.04364736,81,4.37554019,2,6.73,"Guanacaste"
"61","TILARÁN",14705,48.616116967018,47.2288337300238,2.85354595048259,51.383883032982,1.74723737585676,20.1007919366451,14.5572354211663,65.3419726421886,6093,1478.1618,0.551929470919499,2,20364,262,12.86584168,80,3.928501277,1,3.82,"Guanacaste"
"62","NANDAYURE",8384,42.175572519084,40.3029580152672,4.44004524886878,57.824427480916,2.14507918552036,33.7081976916247,11.6898490677715,54.6019532406037,3335,1230.615,0.459498199625778,3,11298,146,12.92264118,43,3.80598336,NA,NA,"Guanacaste"
"63","LA CRUZ",13106,45.3532733099344,43.7051732031131,3.63391655450875,54.6467266900656,2.22695154777927,37.1857541899441,9.54958100558659,53.2646648044693,4877,2793.8625,1.04319774157797,5,22644,446,19.69616675,71,3.13548843,2,4.48,"Guanacaste"
"64","HOJANCHA",3259,45.0138079165388,44.2467014421602,1.70415814587594,54.9861920834612,1.89366053169734,25.3814147018031,11.9278779472954,62.6907073509015,2041,684.7555,0.255680224468131,3,7483,94,12.56180676,26,3.474542296,NA,NA,"Puntarenas"
"65","PUNTARENAS",295918,48.9084814036321,47.2874242188714,3.31447049312854,51.0915185963679,1.83929965659958,24.5076179858789,14.5320584283795,60.9603235857416,33755,9235.7496,3.44852802330095,3,122535,2064,16.84416697,555,4.529318154,20,9.69,"Puntarenas"
"66","ESPARZA",21413,49.4886284033064,47.7326857516462,3.54817401151269,50.5113715966936,1.703029159196,7.29869875746013,23.647392623031,69.0539086195088,8526,1998.5816,0.746248539961894,2,33126,459,13.85618547,115,3.47159331,9,19.61,"Puntarenas"
"67","BUENOS AIRES",30658,45.2410463826734,43.7145280187879,3.37418889689978,54.7589536173266,2.2620043258832,54.3650201462468,8.32711535591703,37.3078644978361,12371,5448.9002,2.03455981914778,4,47324,997,21.06753444,149,3.148508157,9,9.03,"Puntarenas"
"68","MONTES DE ORO",9895,47.6503284487115,46.366851945427,2.69353128313892,52.3496715512885,1.74655355249205,13.5571054925894,19.7471665213601,66.6957279860506,3989,899.7028,0.335939198529411,2,12937,174,13.44979516,57,4.40596738,2,11.49,"Puntarenas"
"69","OSA",21458,48.5459968310187,47.0966539286047,2.98550446385716,51.4540031689813,1.82547758471729,28.032851771225,13.1308133781912,58.8363348505838,9045,2973.256,1.11018131505511,3,29483,493,16.72150053,109,3.697045755,4,8.11,"Puntarenas"
"70","AGUIRRE",19804,54.9686931932943,52.757018784084,4.02351644313798,45.0313068067057,1.46748116847327,17.103751914242,13.2944104134763,69.6018376722818,8235,2027.127,0.756907080535183,2,28491,545,19.12884771,100,3.509880313,5,9.17,"Puntarenas"
"71","GOLFITO",28045,48.4221786414691,46.6357639507934,3.68924889543446,51.5778213585309,1.88291605301915,24.69607768178,12.6385809312639,62.6653413869562,11807,3849.082,1.43720517725852,3,41015,715,17.43264659,180,4.388638303,6,8.39,"Puntarenas"
"72","COTO BRUS",26748,44.7061462539255,43.7004635860625,2.2495400568657,55.2938537460745,2.21567151697608,42.0908546496706,8.74326289674053,49.1658824535888,11032,4361.0944,1.62838501497061,4,43361,875,20.17942391,153,3.528516409,12,13.71,"Puntarenas"
"73","PARRITA",11857,50.4343425824407,48.7813106182002,3.27759197324415,49.5656574175593,1.69481605351171,24.792531120332,19.0179806362379,56.1894882434302,4924,1407.8256,0.525666702085608,3,16865,300,17.788319,65,3.854135784,1,3.33,"Puntarenas"
"74","CORREDORES",29586,50,48.9,2.2,50,1.8,5.57118739448509,21.8345526167698,72.5942599887451,12068,3209.4321,1.19836689116513,2,47094,872,18.51615917,182,3.864611203,2,2.29,"Puntarenas"
"75","GARABITO",12244,60.249918327344,58.0610911466841,3.63291310830961,39.750081672656,1.33550223668158,7.14587143058095,14.6012097341398,78.2529188352792,5374,1252.071,0.467509635672933,2,20184,429,21.25445898,73,3.61672612,3,6.99,"Limón"
"76","LIMÓN",65555,48.8612615361147,46.3870032796888,5.06384440073679,51.1387384638853,1.94761324966439,17.2514716038015,13.3282909664902,69.4202374297083,27049,8047.4706,3.00483762366083,3,96314,2049,21.27416575,476,4.942168324,32,15.62,"Limón"
"77","POCOCÍ",89730,51.1612615624652,48.8677142538727,4.48297645239288,48.8387384375348,1.74385170017644,36.4637734041825,13.0128395174348,50.5233870783826,36887,11785.4208,4.4005474006348,3,131214,2392,18.22976207,464,3.536208027,26,10.87,"Limón"
"78","SIQUIRRES",40174,50.582466271718,48.7554139493205,3.61202696717681,49.417533728282,1.79444909207224,44.8511768009394,10.3946495124317,44.7541736866289,16556,4958.6796,1.85151680153506,3,60376,1110,18.38478866,218,3.610706241,4,3.6,"Limón"
"79","TALAMANCA",19899,50.3894668073773,48.9120056284235,2.9320833748878,49.6105331926227,2.06293008876035,48.9263330935991,6.84270009246892,44.230966813932,8229,3827.0128,1.42896477902903,4,35874,784,21.85426771,113,3.149913586,10,12.75,"Limón"
"80","MATINA",25740,51.9114219114219,49.6386946386946,4.37808711270768,48.0885780885781,1.8230055380931,64.3969632934179,5.75252406668232,29.8505126398998,10675,3685.794,1.37623522156929,3,41148,893,21.70214834,111,2.697579469,10,11.2,"Limón"
"81","GUÁCIMO",29059,50.3561719260814,48.3086135104443,4.06615184856147,49.6438280739186,1.82006423836534,48.1265137483972,11.7466875623308,40.126798689272,12048,3749.9198,1.40017909487618,3,46478,840,18.07306683,123,2.646413357,3,3.57,"Limón"
